payer_corporation,identifier_type,identifier,notes,lookup_url,expiration
Aetna Health Inc. (Texas),NAIC_ID,95490,Current Texas HMO legal entity. TDI's 2025 company data identifies AETNA HEALTH INC with NAIC 95490.,https://tdi.texas.gov/life/documents/lh2025.pdf,current
Aetna Health Inc. (Texas),HIOS_ID,58840,CMS HIOS issuer identifier for Aetna Health Inc. (Texas).,https://www.cms.gov/files/document/hhs-radv-adjustments-by23-transfers-report.pdf-0,current
Aetna Health Inc. (Texas),LEI,549300GYPA73CA50SO84,Legal Entity Identifier for the Texas corporation.,https://lei.bloomberg.com/leis/view/549300GYPA73CA50SO84,current
Aetna Health Inc. (Texas),X12_PAYER_ID,60054,Aetna electronic medical-claims payer ID associated with this Texas entity/products.,https://www.aetna.com/health-care-professionals/claims-payment-reimbursement/electronic-transaction-solutions.html,current
"Aetna Better Health of Texas, Inc.",NAIC_ID,95040,Current Texas Medicaid HMO. TDI's 2025 data identifies AETNA BETTER HEALTH OF TEXAS INC with NAIC 95040.,https://tdi.texas.gov/life/documents/lh2025.pdf,current
"Aetna Better Health of Texas, Inc.",TDI_ID,68775,Texas Department of Insurance HMO identifier.,https://www.tdi.texas.gov/hmo/profiles/68775.html,current
"Aetna Better Health of Texas, Inc.",LEI,549300PZN08N45LKUU43,Legal Entity Identifier for Aetna Better Health of Texas.,https://lei.bloomberg.com/leis/view/549300PZN08N45LKUU43,current
"Aetna Better Health of Texas, Inc.",X12_PAYER_ID,38692,Current electronic claims payer ID. Aetna instructed providers to stop submitting ABH Texas claims through 60054 and use 38692 effective 2024-12-15.,https://www.aetnabetterhealth.com/content/dam/aetna/medicaid/texas/providers/pdf/abhtx_Provider_Notification_Commercial_Payer_ID.pdf,current
"Aetna Better Health of Texas, Inc.",X12_PAYER_ID,60054,Historical relationship. Aetna says ABH Texas claims would no longer be accepted through commercial payer ID 60054 effective 2024-12-15.,https://www.aetnabetterhealth.com/content/dam/aetna/medicaid/texas/providers/pdf/abhtx_Provider_Notification_Commercial_Payer_ID.pdf,2024-12
Texas Health + Aetna Health Plan Inc.,NAIC_ID,16132,Historical corporation. Merged into Aetna Health Inc. (Texas) effective 2024-04-01.,https://www.michigan.gov/difs/-/media/Project/Websites/difs/HMO/2024_1st_Qtr_Report/Aetna_Health_Inc.pdf,2024-04
Texas Health + Aetna Health Plan Inc.,LEI,5493001NIL5DWJ8F1D34,Historical LEI. Corporation merged into Aetna Health Inc. (Texas) effective 2024-04-01.,https://lei.bloomberg.com/leis/view/5493001NIL5DWJ8F1D34,2024-04
Texas Health + Aetna Health Insurance Company,NAIC_ID,16121,Historical corporation. Insurance regulatory filing identifies NAIC 16121; merged into Aetna Life Insurance Company effective 2024-04-01.,https://www.michigan.gov/difs/-/media/Project/Websites/difs/HMO/2024_1st_Qtr_Report/Aetna_Health_Inc.pdf,2024-04
Texas Health + Aetna Health Insurance Company,HIOS_ID,75394,Historical CMS HIOS issuer identifier. Corporation subsequently merged into Aetna Life Insurance Company.,https://www.cms.gov/files/document/hhs-radv-adjustments-by23-transfers-report.pdf-0,2024-04
Texas Health + Aetna Health Insurance Company,LEI,54930087O2O5JBKVJ372,Historical LEI. Corporation merged into Aetna Life Insurance Company effective 2024-04-01.,https://lei.bloomberg.com/leis/view/54930087O2O5JBKVJ372,2024-04
