enumeration_approach,payer_id,payer_lbn,plan_id,plan_name,fhir_url,fhir_url_vendor,fhir_url_type,sandbox_fhir_url,documentation_url,swagger_url,open_api_url,well_known_url
NAIC,11157,,,"MMM Healthcare, MMM Multihealth",https://api.mmmhealthcarefhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.mmmhealthcarefhir.com/r4,http://docs.1up.health/docs,,,
NAIC,11157,,,MMM Healthcare,https://auth.mmmhealthcarefhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
NAIC,11157,,,MMM Healthcare,https://api.mmmhealthcarefhir.com/r4/public-ma/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,13010,,,Vaya Health,https://api.vayahealthfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.vayahealthfhir.com/r4,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,13010,,,Vaya Health,https://auth.vayahealthfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
Availity/EDI Payer ID,13010,,,Vaya Health,https://api.vayahealthfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
NAIC,13022,"MCS ADVANTAGE, INC.",,Medical Card System,https://api.mcsfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.mcsfhir.com.com/r4,http://docs.1up.health/docs,,,
NAIC,13022,"MCS ADVANTAGE, INC.",,Medical Card System,https://auth.mcsfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
NAIC,13022,"MCS ADVANTAGE, INC.",,Medical Card System,https://api.mcsfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
HIOS,14002,,,BlueCross BlueShield of Tennessee,https://api.bcbstnfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.bcbstnfhir.com/r4,http://docs.1up.health/docs,,,
HIOS,14002,,,BlueCross BlueShield of Tennessee,https://auth.bcbstnfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
HIOS,14002,,,BlueCross BlueShield of Tennessee,https://api.bcbstnfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
NAIC,15685,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,,HealthTeam Advantage ,https://api.healthteamadvantagefhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.healthteamadvantagefhir.com/r4,http://docs.1up.health/docs,,,
NAIC,15685,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,,HealthTeam Advantage ,https://auth.healthteamadvantagefhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
NAIC,15685,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,,HealthTeam Advantage ,https://api.healthteamadvantagefhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
NAIC,16282,"BAYCARE SELECT HEALTH PLANS, INC.",,BayCare,https://api.baycarefhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.baycarefhir.com/r4,http://docs.1up.health/docs,,,
NAIC,16282,"BAYCARE SELECT HEALTH PLANS, INC.",,BayCare,https://auth.baycarefhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
NAIC,16282,"BAYCARE SELECT HEALTH PLANS, INC.",,BayCare,https://api.baycarefhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
NAIC,16375,"MASS GENERAL BRIGHAM HEALTH PLAN, INC",,MGB Health Plan,https://api.mgbhealthplanfhir.com/r4,1upHealth,carin_bluebutton_endpoint,https://api.mgbhealthplanfhir.com/r4,http://docs.1up.health/docs,,,
NAIC,16375,"MASS GENERAL BRIGHAM HEALTH PLAN, INC",,MGB Health Plan,https://auth.mgbhealthplanfhir.com/oauth2/authorize/system,1upHealth,davinci_pdex_patient_endpoint,,http://docs.1up.health/docs,,,
NAIC,16375,"MASS GENERAL BRIGHAM HEALTH PLAN, INC",,MGB Health Plan,https://api.mgbhealthplanfhir.com/r4/public/Practitioner,1upHealth,davinci_pdex_provider_directory_endpoint,,http://docs.1up.health/docs,,,
