mapping_type,source_key,source_subkey,destination,destination_key,transform,notes
column,enumeration_approach,,identifier,,lookup_enumeration_approach,"Combined with payer_id to build one non-FPI identifier entry. The value is translated to a payer identifier system id by the enumeration_approach rows in this same file."
column,payer_id,,identifier,,identifier_value,"The identifier value within the system named by enumeration_approach. Written as an identifier entry with is_fpi false and parent_fpi set to the matched payer FPI. Also used as a fallback match key when payer_lbn is blank."
column,payer_lbn,,identifier.payerLegalName,,match_key_legal_name,"Primary match key. Normalized with tools/FPI_maker_cli.normalize_legal_name and compared against the payerLegalName of each FPI identifier entry in payer_index_files. Never written; it only selects the target payer file."
column,plan_id,,plan_groups.plan_identifiers.value,,match_key_plan_id,"Optional plan selector. When populated with parseable contract-plan ids the overlay restricts endpoint writes to the matching plans. Free-text prose values are ignored with a warning."
column,plan_name,,plan_groups.plan_identifiers.plan_name,,informational_only,"Marketing/brand name from the source. Not written, because plan_name in the index comes from the CMS plan crosswalk and is authoritative there. Retained in warnings to help humans identify rows."
column,fhir_url,,plan_groups.plan_endpoints,,endpoint_url,"The endpoint URL value. The key it is written under comes from fhir_url_type."
column,fhir_url_vendor,,,,ignore,"No home in the well-known format yet. See FutureSteps.md 'Recording the FHIR vendor'. Ignored for now."
column,fhir_url_type,,plan_groups.plan_endpoints,,lookup_endpoint_type,"Selects the plan_endpoints key. Translated by the endpoint_type rows in this same file. Per project decision: if the mapped type carries a version suffix, include it; if not, write the bare key."
column,sandbox_fhir_url,,plan_groups.plan_endpoints,,endpoint_url_sandbox,"Written under the production key plus a _sandbox suffix (bare key -> key#sandbox; versioned key -> key#<version>_sandbox). Sandbox values are never conflict-tracked: a differing sandbox value prints a warning and is skipped."
column,documentation_url,,plan_groups.plan_endpoints,ndh_meta_documentation_url,endpoint_url,"Developer documentation page. Mapped onto the existing ndh_meta_documentation_url key already defined by the well-known format."
column,swagger_url,,,,ignore,"No defined slot in the well-known format. Ignored for now."
column,open_api_url,,,,ignore,"No defined slot in the well-known format. Ignored for now."
column,well_known_url,,,,ignore,"SMART-on-FHIR well-known endpoint. No defined slot in the well-known format yet. Ignored for now."
enumeration_approach,NAIC,,,NAIC_ID,,"National Association of Insurance Commissioners company code."
enumeration_approach,HIOS,,,HIOS_ID,,"CMS Health Insurance Oversight System issuer id."
enumeration_approach,EIN,,,EIN,,"Federal Employer Identification Number."
enumeration_approach,CMS Contract ID,,,CMS_CONTRACT_ID,,"Medicare Advantage / Part D contract number. Crosswalk identifier only; never an FPI source."
enumeration_approach,Availity/EDI Payer ID,,,X12_PAYER_ID_AVAILITY,,"Availity clearinghouse X12 routing payer id."
endpoint_type,carin_bluebutton_endpoint,,,carin_bluebutton_endpoint,,"Source supplies no version, so the bare key is written."
endpoint_type,davinci_pdex_patient_endpoint,,,davinci_pdex_patient_endpoint,,"Source supplies no version, so the bare key is written."
endpoint_type,davinci_pdex_provider_directory_endpoint,,,davinci_pdex_provider_directory_endpoint,,"Source supplies no version, so the bare key is written. Note the Medicare Advantage seeder writes the versioned davinci_pdex_provider_directory_endpoint#1.1 key, so both may appear in one file."
payer_override,"ASPIRUS HEALTH PLAN, INC.",,,,no_match,"Reviewed 2026-09: has no Medicare Advantage contract in the CMS source data and rides UCare FHIR infrastructure. Intentionally unmatched rather than silently dropped."
