"Contract Number","Plan ID","Organization Type","Plan Type","Offers Part D","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date","Enrollment"
"90091","","HCPP - 1833 Cost","HCPP - 1833 Cost","No","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","United Mine Workers of America Health & Retirement","","UMWA Health and Retirement Funds","02/01/1974","38560"
"E3014","801","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","PSERS Health Options Program Plus (Employer PDP)","Commonwealth of PA Pub Schools Retirement System","01/01/2007","33341"
"E3014","802","Employer/Union Only Direct Contract PDP","Employer/Union Only Direct Contract PDP","Yes","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","PSERS Health Options Program Standard (Employer PDP)","Commonwealth of PA Pub Schools Retirement System","01/01/2007","61925"
"H0016","001","National PACE","National PACE","Yes","LIFE COORDINATED COMMONWEALTH PACE INC","LIFE COORDINATED COMMONWEALTH PACE INC","Life Coordinated Commonwealth Pace (PACE)","LIFE COORDINATED COMMONWEALTH PACE, Inc","04/01/2024","37"
"H0016","003","National PACE","National PACE","Yes","LIFE COORDINATED COMMONWEALTH PACE INC","LIFE COORDINATED COMMONWEALTH PACE INC","Life Coordinated Commonwealth Pace_Medicare Only (PACE)","LIFE COORDINATED COMMONWEALTH PACE, Inc","04/01/2024","*"
"H0028","007","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus SNP-DE H0028-007 (HMO D-SNP)","Humana Inc.","01/01/2013","945"
"H0028","014","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-014 (HMO)","Humana Inc.","01/01/2013","9758"
"H0028","015","Local CCP","HMOPOS","Yes","CHA HMO, INC.","Humana","Humana Gold Plus SNP-DE H0028-015 (HMO-POS D-SNP)","Humana Inc.","01/01/2013","6217"
"H0028","016","Local CCP","HMOPOS","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-016 (HMO-POS)","Humana Inc.","01/01/2013","675"
"H0028","017","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-017 (HMO)","Humana Inc.","01/01/2013","3253"
"H0028","019","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-019 (HMO)","Humana Inc.","01/01/2013","14787"
"H0028","021","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-021 (HMO)","Humana Inc.","01/01/2013","2920"
"H0028","024","Local CCP","HMO","Yes","CHA HMO, INC.","Humana","Humana Gold Plus H0028-024 (HMO)","Humana Inc.","01/01/2013","15331"
