"Contract Number","Plan Count","Organization Name","Organization Marketing Name","Parent Organization"
"90091","0","UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT","United Mine Workers of America Health & Retirement","UMWA Health and Retirement Funds"
"E3014","2","PSERS HOP PROGRAM","Pennsylvania Public School Employees Retirement Sy","Commonwealth of PA Pub Schools Retirement System"
"H0016","2","LIFE COORDINATED COMMONWEALTH PACE INC","LIFE COORDINATED COMMONWEALTH PACE INC","LIFE COORDINATED COMMONWEALTH PACE, Inc"
"H0028","46","CHA HMO, INC.","Humana","Humana Inc."
"H0029","5","COORDINATED CARE OF WASHINGTON, INC.","Wellcare","Centene Corporation"
"H0034","2","HAMASPIK, INC.","Hamaspik, Inc.","Hamaspik of Rockland County, Inc."
"H0062","2","SUPERIOR HEALTHPLAN, INC.","Wellcare","Centene Corporation"
"H0074","2","WELLCARE OF MISSISSIPPI, INC.","Wellcare","Centene Corporation"
"H0104","12","BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","BlueCross BlueShield of Alabama"
"H0105","2","Orangeburg Senior Helping Center, LLC","Orangeburg Senior Helping Center: A PACE Healthcare Program","Orangeburg Senior Helping Center, LLC"
"H0107","27","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Health Care Service Corporation"
"H0111","3","WELLCARE OF GEORGIA, INC.","Wellcare","Centene Corporation"
"H0112","2","MORSE LIFE HOME CARE, INC.","Palm Beach PACE","Morse Life Home Care, Inc."
"H0154","10","VIVA HEALTH, INC.","VIVA Medicare","Triton Health Systems, L.L.C."
"H0169","8","UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H0174","17","WELLCARE OF TEXAS, INC.","Wellcare","Centene Corporation"
"H0216","2","PACE IOWA","Immanuel Pathways Iowa","Immanuel"
"H0235","2","PACE OF NORTHEAST INDIANA, LLC","PACE of Northeast Indiana, LLC","Aging & In-Home Services of Northeast Indiana, Inc"
"H0251","3","UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H0270","1","WELLCARE HEALTH INSURANCE COMPANY OF AMERICA","Wellcare","Centene Corporation"
"H0292","3","HUMANA HEALTH PLAN OF OHIO, INC.","Humana","Humana Inc."
"H0294","14","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealth Group, Inc."
"H0302","4","MEDISUN, INC.","Blue Cross Blue Shield of Arizona (AZ Blue)","Blue Cross Blue Shield of Arizona"
"H0321","2","ARIZONA PHYSICIANS IPA, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H0332","16","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","UnitedHealth Group, Inc."
"H0342","5","CAREPARTNERS OF CONNECTICUT, INC.","CarePartners of Connecticut","Point32Health, Inc."
"H0351","12","HEALTH NET OF ARIZONA, INC.","Wellcare","Centene Corporation"
"H0354","7","BRAVO HEALTH PENNSYLVANIA, INC.","HealthSpring","Health Care Service Corporation"
"H0363","1","LONGEVITY HEALTH PLAN OF COLORADO, INC.","Longevity Health Plan","Longevity Health Founders, LLC"
"H0390","2","PACE OF SOUTHWEST MICHIGAN, INC.","PACE of Southwest Michigan","PACE of Southwest Michigan, Inc."
"H0413","3","DEVOTED HEALTH INSURANCE COMPANY OF DELAWARE","Devoted Health","Devoted Health, Inc."
"H0421","1","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc."
"H0423","3","METROPLUS HEALTH PLAN, INC.","MetroPlus Health Plan","New York City Health and Hospitals Corporation"
"H0424","2","INNOVAGE FLORIDA PACE II, LLC","InnovAge Florida PACE - Orlando","Total Community Options, Inc."
"H0432","6","UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H0439","20","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","HealthSpring","Health Care Service Corporation"
"H0440","2","EMPATH LIFE, INC.","Empath LIFE","Empath Health, Inc."
"H0473","3","HUMANA INSURANCE COMPANY OF KENTUCKY","Humana","Humana Inc."
"H0477","2","SERENITY CARE, INC.","Serenity Care PACE","Serenity Care, Inc."
"H0504","16","CALIFORNIA PHYSICIANS' SERVICE","Blue Shield of California","California Physicians' Service"
"H0523","15","AETNA HEALTH OF CALIFORNIA INC.","Aetna Medicare","CVS Health Corporation"
"H0524","39","KAISER FOUNDATION HP, INC.","Kaiser Permanente","Kaiser Foundation Health Plan, Inc."
"H0542","2","ALTAMED HEALTH SERVICES CORPORATION","AltaMed Health Services Corporation","Altamed Health Services Corporation"
"H0543","46","UHC OF CALIFORNIA","UnitedHealthcare","UnitedHealth Group, Inc."
"H0544","28","BLUE CROSS OF CALIFORNIA","Anthem Blue Cross","Elevance Health, Inc."
"H0562","12","HEALTH NET OF CALIFORNIA, INC.","Wellcare","Centene Corporation"
"H0571","5","CHINESE COMMUNITY HEALTH PLAN","CCHP (Chinese Community Health Plan)","Chinese Hospital Association"
"H0609","67","UnitedHealthcare Benefits of Texas, Inc.","UnitedHealthcare","UnitedHealth Group, Inc."
"H0613","2","TOTAL LONGTERM CARE, INC.","InnovAge Colorado PACE","Total Community Options, Inc."
